Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,2005 - 2010,All ages,Both,Tuberculosis,Deaths annual % change,-0.0325487755559998,,
Global,2005 - 2010,All ages,Both,HIV/AIDS,Deaths annual % change,-0.0456628972256115,,
Global,2005 - 2010,All ages,Both,Diarrheal diseases,Deaths annual % change,-0.0193584742704781,,
Global,2005 - 2010,All ages,Both,Other intestinal infectious diseases,Deaths annual % change,-0.0663090702758617,,
Global,2005 - 2010,All ages,Both,Lower respiratory infections,Deaths annual % change,-0.0211496438852426,,
Global,2005 - 2010,All ages,Both,Upper respiratory infections,Deaths annual % change,-0.0724115430345683,,
Global,2005 - 2010,All ages,Both,Otitis media,Deaths annual % change,-0.0566845229686553,,
Global,2005 - 2010,All ages,Both,Meningitis,Deaths annual % change,-0.0373921923661004,,
Global,2005 - 2010,All ages,Both,Encephalitis,Deaths annual % change,-0.0229988286102129,,
Global,2005 - 2010,All ages,Both,Diphtheria,Deaths annual % change,-0.1350428734453274,,
Global,2005 - 2010,All ages,Both,Whooping cough,Deaths annual % change,-0.0447329834586024,,
Global,2005 - 2010,All ages,Both,Tetanus,Deaths annual % change,-0.1121259593686446,,
Global,2005 - 2010,All ages,Both,Measles,Deaths annual % change,-0.1350579253385449,,
Global,2005 - 2010,All ages,Both,Varicella and herpes zoster,Deaths annual % change,-0.0311836222741761,,
Global,2005 - 2010,All ages,Both,Malaria,Deaths annual % change,-0.045183258021185,,
Global,2005 - 2010,All ages,Both,Chagas disease,Deaths annual % change,-0.0147370546651001,,
Global,2005 - 2010,All ages,Both,Leishmaniasis,Deaths annual % change,-0.1066566175443224,,
Global,2005 - 2010,All ages,Both,African trypanosomiasis,Deaths annual % change,-0.1812412129169514,,
Global,2005 - 2010,All ages,Both,Schistosomiasis,Deaths annual % change,-0.0306379651873642,,
Global,2005 - 2010,All ages,Both,Cysticercosis,Deaths annual % change,-0.0363208942562328,,
Global,2005 - 2010,All ages,Both,Cystic echinococcosis,Deaths annual % change,-0.051199380924484,,
Global,2005 - 2010,All ages,Both,Lymphatic filariasis,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Onchocerciasis,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Trachoma,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Dengue,Deaths annual % change,0.0362668474950215,,
Global,2005 - 2010,All ages,Both,Yellow fever,Deaths annual % change,-0.0387479644253421,,
Global,2005 - 2010,All ages,Both,Rabies,Deaths annual % change,-0.0819993704346103,,
Global,2005 - 2010,All ages,Both,Intestinal nematode infections,Deaths annual % change,-0.0685607376129447,,
Global,2005 - 2010,All ages,Both,Food-borne trematodiases,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Other neglected tropical diseases,Deaths annual % change,-0.0068570054646216,,
Global,2005 - 2010,All ages,Both,Maternal disorders,Deaths annual % change,-0.0318097670937832,,
Global,2005 - 2010,All ages,Both,Neonatal disorders,Deaths annual % change,-0.0335789811200444,,
Global,2005 - 2010,All ages,Both,Protein-energy malnutrition,Deaths annual % change,-0.0345190613001418,,
Global,2005 - 2010,All ages,Both,Iodine deficiency,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Vitamin A deficiency,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Dietary iron deficiency,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Other nutritional deficiencies,Deaths annual % change,-0.0132739520451164,,
Global,2005 - 2010,All ages,Both,Sexually transmitted infections excluding HIV,Deaths annual % change,-0.0303724870754477,,
Global,2005 - 2010,All ages,Both,Acute hepatitis,Deaths annual % change,-0.0266269497604728,,
Global,2005 - 2010,All ages,Both,Leprosy,Deaths annual % change,0.0,,
Global,2005 - 2010,All ages,Both,Other unspecified infectious diseases,Deaths annual % change,-0.0121198962186042,,
Global,2005 - 2010,All ages,Both,Esophageal cancer,Deaths annual % change,-0.0167135266247122,,
Global,2005 - 2010,All ages,Both,Stomach cancer,Deaths annual % change,-0.0144272924683661,,
Global,2005 - 2010,All ages,Both,Liver cancer,Deaths annual % change,-0.0002990918622154,,
